cohort,model,splitter,n_subjects,n_windows,window_n_mean,window_n_sd,window_prevalence_mean,window_prevalence_sd,window_accuracy_mean,window_accuracy_sd,window_balanced_accuracy_mean,window_balanced_accuracy_sd,window_macro_f1_mean,window_macro_f1_sd,window_mcc_mean,window_mcc_sd,window_auroc_mean,window_auroc_sd,window_auprc_mean,window_auprc_sd,window_brier_mean,window_brier_sd,window_calibration_slope_mean,window_calibration_slope_sd,window_calibration_intercept_mean,window_calibration_intercept_sd,window_ece_mean,window_ece_sd,subject_n_mean,subject_n_sd,subject_prevalence_mean,subject_prevalence_sd,subject_accuracy_mean,subject_accuracy_sd,subject_balanced_accuracy_mean,subject_balanced_accuracy_sd,subject_macro_f1_mean,subject_macro_f1_sd,subject_mcc_mean,subject_mcc_sd,subject_auroc_mean,subject_auroc_sd,subject_auprc_mean,subject_auprc_sd,subject_brier_mean,subject_brier_sd,subject_calibration_slope_mean,subject_calibration_slope_sd,subject_calibration_intercept_mean,subject_calibration_intercept_sd,subject_ece_mean,subject_ece_sd,n_subjects_mean,n_subjects_sd,window_auroc_ci_lo,window_auroc_ci_hi,subject_auroc_ci_lo,subject_auroc_ci_hi,window_accuracy_ci_lo,window_accuracy_ci_hi,subject_accuracy_ci_lo,subject_accuracy_ci_hi,window_macro_f1_ci_lo,window_macro_f1_ci_hi,subject_macro_f1_ci_lo,subject_macro_f1_ci_hi,window_brier_ci_lo,window_brier_ci_hi,subject_brier_ci_lo,subject_brier_ci_hi,window_calibration_slope_ci_lo,window_calibration_slope_ci_hi,subject_calibration_slope_ci_lo,subject_calibration_slope_ci_hi
depresjon,majority,subject_wise,55.0,1034.0,1034.0,0.0,0.3471953578336557,0.0,0.6528046421663444,1.1702778228589004e-16,0.5,0.0,0.39496781743709775,0.0,0.0,0.0,0.48163829567729294,0.00019677765801851053,0.33681790103696735,0.00013813251720309788,0.22678225629516166,1.591988539128677e-06,-4.013961247687995,0.0007833096952107785,-0.00021223478930899382,2.6209490643858767e-06,4.810161941163349e-05,5.940025261528585e-07,55.0,0.0,0.41818181818181815,0.0,0.5818181818181818,0.0,0.5,0.0,0.367816091954023,0.0,0.0,0.0,0.4334239130434782,0.008664459451860968,0.3812655617223101,0.0034084618836520216,0.24868703510783755,1.6237944458765338e-07,-10.59743706394422,0.1289212438831369,0.30112636026824113,2.7995049022773777e-07,0.07097684002428017,1.1880050520325625e-07,55.0,0.0,0.2921156900328968,0.6526288526346561,0.29991269565804857,0.550993300579685,0.5129429237236917,0.7680809755971049,0.4722222222222222,0.6756756756756757,0.3390517084462116,0.43443353952560676,0.32075471698113206,0.4032258064516129,0.1915387276280649,0.26923362997829603,0.21999872269635679,0.28203736943586016,-83.35990396784638,55.869759171500476,-83.43930536645266,17.82558116546031
depresjon,majority,record_wise,55.0,1034.0,1034.0,0.0,0.3471953578336557,0.0,0.6528046421663444,1.1702778228589004e-16,0.5,0.0,0.39496781743709775,0.0,0.0,0.0,0.4988857938718664,0.0,0.3466939744916452,0.0,0.22665163714737888,0.0,0.2850281916619615,0.0,3.3649657196493204e-06,0.0,7.626712489328114e-07,0.0,55.0,0.0,0.41818181818181815,0.0,0.5818181818181818,0.0,0.5,0.0,0.367816091954023,0.0,0.0,0.0,0.48260869565217385,0.026031228216702906,0.4524792070430242,0.024897638274801005,0.24834726687230346,2.439079556668665e-06,0.14902294460189194,3.0008374860622498e-05,0.3011565496881022,2.0033255425685176e-05,0.07098825679094338,4.540480289868664e-06,55.0,0.0,0.45907645466080577,0.5275138983966348,0.29529998072234875,0.555304814929987,0.5129429237236917,0.7680809755971049,0.4722222222222222,0.6756756756756757,0.3390517084462116,0.43443353952560676,0.32075471698113206,0.4032258064516129,0.19141730870706813,0.26939228328678516,0.21966246738301715,0.2818401529694436,0.023321155262785623,0.5404815895252758,-0.050225830752891595,0.33132211109041443
depresjon,majority,inflation,,,,,,,,,,,,,,,0.026276694521819854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.14706579473907522,0.21810961984241695,,,,,,,,,,,,,,,,,,
depresjon,majority,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0006793478260869179,,,,,,,,,,,,,,,,-0.1909868777056277,0.20243918219461693,,,,,,,,,,,,,,,,
depresjon,majority,inflation,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,
depresjon,majority,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
depresjon,majority,inflation,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,
depresjon,majority,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,
depresjon,logreg,subject_wise,55.0,1034.0,1034.0,0.0,0.3471953578336557,0.0,0.7222437137330754,0.008140149117775195,0.7174282471886928,0.007314752764724193,0.7059798927415047,0.007660919871537288,0.41990309463895825,0.014392070862407996,0.7650873826472713,0.01866806724821048,0.6199468046789116,0.012087778057298168,0.19406332411626126,0.005181204210852453,0.5241674755473161,0.09597289741849245,-0.5368053305091475,0.07361761376423676,0.11785882246420307,0.018457590408158073,55.0,0.0,0.41818181818181815,0.0,0.8254545454545454,0.02599710374488143,0.8255434782608695,0.029009911035726716,0.8219816319474541,0.027021430516741725,0.647126274351967,0.05612118317884288,0.8877717391304347,0.014968965129034041,0.8847681322463146,0.017625543389784244,0.15118609384266898,0.004735062137695639,1.8826350315217446,0.5850084413810543,-0.26703644399108717,0.06426980711451913,0.183272773278526,0.03726319040799021,55.0,0.0,0.6747648701423024,0.8606364186182001,0.8224609472640445,0.96854460711331,0.6447455101240378,0.7830126527053047,0.7352941176470589,0.8888888888888888,0.6251716473083551,0.7741840130207144,0.7327758510219428,0.8983053988419681,0.1510723952658003,0.23393301116062507,0.12051725332665639,0.1735963672774615,0.3491038772679448,1.028514270561527,1.5779995619720186,4.830037845330611
depresjon,logreg,record_wise,55.0,1034.0,1034.0,0.0,0.3471953578336557,0.0,0.7613152804642167,0.0071039115516901554,0.7671102857732384,0.00730939878580426,0.7496934026067429,0.007241217355933044,0.512730537735915,0.014175154641954799,0.8396294232951614,0.003377056377212355,0.7100068744702888,0.009856967759950928,0.16337673408089412,0.001954369558523842,0.9034738742072994,0.037961798127394274,-0.6161515155387931,0.014853110801610392,0.0949983750129216,0.0021331912074652143,55.0,0.0,0.41818181818181815,0.0,0.8709090909090909,0.018080525927486428,0.875,0.018357761050281945,0.8690428687694121,0.018214445113649325,0.7423769505160112,0.036185242349725866,0.9608695652173914,0.0032533124992876927,0.9511464958181601,0.003668799344144882,0.1240754876339644,0.001236560453226209,4.365435023087502,0.178493414728048,-0.3467956717349069,0.011871148697485267,0.19058705941152218,0.011575132869911044,55.0,0.0,0.7811390855802215,0.8961673335542585,0.9265074442780219,0.9900773852970808,0.7132850600443363,0.8212129559208985,0.8,0.9411764705882353,0.6997774083921257,0.8191428300254318,0.7993447993447993,0.9404562949231232,0.13160355160506845,0.18976665100499124,0.10501882015923487,0.14299083804900173,0.6796498270096123,1.244638163978267,3.392985918053271,8.239663161185225
