cohort,model,splitter,n_kernels,window_n_mean,window_n_sd,window_prevalence_mean,window_prevalence_sd,window_accuracy_mean,window_accuracy_sd,window_balanced_accuracy_mean,window_balanced_accuracy_sd,window_macro_f1_mean,window_macro_f1_sd,window_mcc_mean,window_mcc_sd,window_auroc_mean,window_auroc_sd,window_auprc_mean,window_auprc_sd,window_brier_mean,window_brier_sd,window_calibration_slope_mean,window_calibration_slope_sd,window_calibration_intercept_mean,window_calibration_intercept_sd,window_ece_mean,window_ece_sd,subject_n_mean,subject_n_sd,subject_prevalence_mean,subject_prevalence_sd,subject_accuracy_mean,subject_accuracy_sd,subject_balanced_accuracy_mean,subject_balanced_accuracy_sd,subject_macro_f1_mean,subject_macro_f1_sd,subject_mcc_mean,subject_mcc_sd,subject_auroc_mean,subject_auroc_sd,subject_auprc_mean,subject_auprc_sd,subject_brier_mean,subject_brier_sd,subject_calibration_slope_mean,subject_calibration_slope_sd,subject_calibration_intercept_mean,subject_calibration_intercept_sd,subject_ece_mean,subject_ece_sd,n_subjects_mean,n_subjects_sd,window_auroc_est,window_auroc_ci_lo,window_auroc_ci_hi,subject_auroc_est,subject_auroc_ci_lo,subject_auroc_ci_hi,window_accuracy_est,window_accuracy_ci_lo,window_accuracy_ci_hi,subject_accuracy_est,subject_accuracy_ci_lo,subject_accuracy_ci_hi,window_macro_f1_est,window_macro_f1_ci_lo,window_macro_f1_ci_hi,subject_macro_f1_est,subject_macro_f1_ci_lo,subject_macro_f1_ci_hi,window_brier_est,window_brier_ci_lo,window_brier_ci_hi,subject_brier_est,subject_brier_ci_lo,subject_brier_ci_hi,window_calibration_slope_est,window_calibration_slope_ci_lo,window_calibration_slope_ci_hi,subject_calibration_slope_est,subject_calibration_slope_ci_lo,subject_calibration_slope_ci_hi,window_calibration_intercept_est,window_calibration_intercept_ci_lo,window_calibration_intercept_ci_hi,subject_calibration_intercept_est,subject_calibration_intercept_ci_lo,subject_calibration_intercept_ci_hi,window_ece_est,window_ece_ci_lo,window_ece_ci_hi,subject_ece_est,subject_ece_ci_lo,subject_ece_ci_hi
depresjon,rocket,subject_wise,500.0,1034.0,0.0,0.3471953578336557,0.0,0.6805286911669891,0.013130504096980187,0.6453351215653909,0.012314941378424453,0.6460023255742585,0.012955909714656513,0.2921456467236488,0.025997370351589135,0.6833563740156127,0.007469427538687119,0.5505810742615259,0.021666315701661373,0.25076503540285394,0.008318941892539596,0.20009893845932156,0.01810664338254041,-0.1781855906032961,0.08142642531969005,0.1929338079875423,0.015251401529741802,55.0,0.0,0.41818181818181815,0.0,0.793939393939394,0.055546372060070744,0.7719655797101449,0.06258240275138637,0.7778043966124462,0.06414994961838984,0.57424805791235,0.11637527590777126,0.8324275362318841,0.009543164631207211,0.8025471505730867,0.022115843043324087,0.1651262814199718,0.0035383290108934743,1.5156395589716798,0.19197779071939083,0.08186693225907195,0.023323155607995073,0.14885492765090683,0.06014750658377768,55.0,0.0,0.7172598782626638,0.6242861071690045,0.799062636455877,0.8573369565217392,0.7620379942950726,0.9247485686023158,0.7001934235976789,0.6200732053150262,0.7587259346126133,0.8,0.7140584385319865,0.8823529411764706,0.6661931818181819,0.5893402632574165,0.7277016919870241,0.7861435136090491,0.6941432514840695,0.8798168944493636,0.2129001938714853,0.17069907609832766,0.27046643428978157,0.16066320725479039,0.12780602779726122,0.19321291529041942,0.35932218573083774,0.18441962077952032,0.5609650538761416,1.8056560474661703,1.1782701928597181,2.8334860546199545,-0.12711357701891424,-0.8879903894771595,0.761082743753606,0.07942702156150033,-0.36431983996066636,0.43752317189837336,0.11833073123052178,0.06779224219560565,0.165371302906535,0.14282815673134544,0.0798222150980216,0.18988847823939242
depresjon,rocket,record_wise,500.0,1034.0,0.0,0.3471953578336557,0.0,0.7379110251450677,0.01424653758477393,0.7158010935726814,0.014023388056105887,0.7136653897870896,0.014653210576178629,0.4277312902491129,0.029121049941106935,0.7946614395268062,0.020320963450532876,0.6917712417347639,0.02800526323894634,0.19452513990368722,0.014089620512079801,0.37959015662424034,0.0561817694848846,-0.38898347361629515,0.10444946654328492,0.13897280495646389,0.022611631576933026,55.0,0.0,0.41818181818181815,0.0,0.8848484848484848,0.010497277621629563,0.8725090579710145,0.011210954523991493,0.8790610876896277,0.011035795074708666,0.7643504284255828,0.022574093199714866,0.9719202898550726,0.014528093235820152,0.963657370691843,0.016145623147567963,0.10904040578380776,0.007915206657015124,3.9617260761685062,0.7575011739999582,-0.03013801549813029,0.044009885421759945,0.1985043906804287,0.025033696146106003,55.0,0.0,0.8309501702259362,0.769372756850921,0.8709712981641939,0.9755434782608696,0.9478194407456466,1.0,0.769825918762089,0.7146113014949333,0.8091170867620064,0.8727272727272727,0.8033076098935508,0.9404812193953953,0.7474145328094657,0.6912886083888997,0.7912619821244957,0.8663658451926415,0.7929638344465245,0.9335304910492239,0.15882571150092845,0.13458110599724146,0.19389278870534543,0.10686022604307586,0.08754842704520212,0.1239207568536962,0.6676446347550459,0.497386244312536,0.8241869619231077,4.078731765543179,3.0008819226357693,7.6537504597493955,-0.2795726054764398,-0.956056399515435,0.4247873345065443,-0.0302139848420807,-0.3942222922767671,0.29531134025539746,0.05990530799772035,0.028419884648012195,0.09084952008513142,0.2404052443125031,0.19307961239538127,0.2756944972998764
depresjon,rocket,inflation,,,,,,,,,,,,,,0.1136902919632724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06561333528603862,0.16730648782287194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
depresjon,rocket,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11820652173913038,,,,,,,,,,,,,,,,,,0.0553410947712418,0.17315050167224075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psykose,rocket,subject_wise,500.0,1021.0,0.0,0.33888344760039174,6.798699777552591e-17,0.8001958863858962,0.0,0.7782195104545778,0.0028465803252915632,0.7775500734941397,0.0012638420360240132,0.5551981400712163,0.0025560576255329536,0.8382923000071362,0.0096620845300912,0.7661166465141481,0.0004658533272314032,0.15502797064706975,0.0006089903329077991,0.42357852091388387,0.014817151941773252,-0.4471238385224898,0.01991002558880124,0.10786252885306684,0.005220491108096085,54.0,0.0,0.4074074074074074,0.0,0.9444444444444443,1.3597399555105182e-16,0.9412878787878789,0.004100499070949035,0.9423119516142773,0.00047214946624245187,0.8853194987978018,0.000933623691896291,0.9512310606060606,0.005740698699328659,0.9619198921828424,0.006758601328751246,0.08925130547723853,0.0025692345179502063,2.260159874998782,0.17968130491073658,-0.012382579625208672,0.007142670480223851,0.19023832946693822,0.009563831750579704,54.0,0.0,0.8647206165703275,0.7489937114965317,0.9083757859119411,0.9488636363636365,0.8969031340479592,1.0,0.8305582761998042,0.7767993144242454,0.8660271706467759,0.9629629629629629,0.9312220762765407,1.0,0.8107924558214369,0.7570891359160165,0.8522928184550855,0.9616477272727273,0.9238062497901783,1.0,0.13131383864193086,0.10623114698977995,0.17278280580617675,0.08690702064519548,0.06201682622572236,0.11034699087773275,0.6706602367290172,0.3568444162754089,0.9374541060078515,2.3354874969196757,1.6867732041521528,22.884067941222785,-0.35513962094254525,-1.0850867144223602,0.30784712633291883,-0.012239176729597512,-0.36477769538392196,0.34617456801256885,0.07427079312458595,0.03343930658892285,0.108688681347159,0.20645462273171653,0.17923520579412658,0.22329916443604153
psykose,rocket,record_wise,500.0,1021.0,0.0,0.33888344760039174,6.798699777552591e-17,0.8321906627489389,0.004929699272132381,0.8120431028330836,0.004104666753845771,0.8124897021216917,0.004982214869164466,0.6250075168196064,0.009997324752213366,0.8791158210233353,0.0056693510709840845,0.8216746594002379,0.006792815124950029,0.13127380841196623,0.0038367228092941776,0.5455819665857111,0.010583859032663944,-0.42089814621465776,0.035384804241245425,0.08001167310357608,0.0053952785766524635,54.0,0.0,0.4074074074074074,0.0,0.9691358024691358,0.010691671651659785,0.9668560606060606,0.009021097956087902,0.9679917466254676,0.010988163843146386,0.9362274316441929,0.022398841377331797,0.9805871212121212,0.006712806287290639,0.9825045073797843,0.003438309003035032,0.06663406204015916,0.0045915568079232805,3.093649294331693,0.41708081719462303,-0.02547711648570464,0.015628801066795307,0.17573308090414896,0.0066274940420903835,54.0,0.0,0.9050545921644189,0.8172441815519068,0.9351378538234836,0.9801136363636364,0.9475096239419025,1.0,0.8550440744368266,0.8070183503724214,0.8881872142134678,0.9629629629629629,0.9312220762765407,1.0,0.8370838364671382,0.791002962749797,0.8782505431680361,0.9616477272727273,0.9238062497901783,1.0,0.1093710787848114,0.08857867066562906,0.14171531624651879,0.06540353243857626,0.047121056812653446,0.08400824987633634,0.8680765988433293,0.584313780949761,1.139671492989379,3.0766529930424857,2.3630375504209025,50.809003240044596,-0.33425733604280383,-1.0418570639314217,0.30774030527195795,-0.025305161981297366,-0.37582058854536204,0.30040196398888985,0.04197383114893144,0.023263462276505956,0.05679008330227908,0.17327306074676693,0.14530979894225066,0.19599175609646163
psykose,rocket,inflation,,,,,,,,,,,,,,0.040333975594091354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0206894253987101,0.06795213040590149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psykose,rocket,inflation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03124999999999989,,,,,,,,,,,,,,,,,,0.0,0.061772091544818816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hyperaktiv,rocket,subject_wise,500.0,502.0,0.0,0.5039840637450199,0.0,0.49800796812749004,0.010540841876751347,0.49787026895460634,0.010655574009508152,0.49770155529318766,0.010784222904039159,-0.004273517111991009,0.021322910206138357,0.5021561873316719,0.015635313331268937,0.5112694663989416,0.003587610778998934,0.4096417866361827,0.015468886568055215,-0.0016368231088248972,0.019984267439808065,-0.14198332619467413,0.1460406709646517,0.3777098966140251,0.019597449906795912,85.0,0.0,0.5294117647058824,0.0,0.5176470588235295,0.051281164041654996,0.5157407407407407,0.05148889168624812,0.5154679546201969,0.05125751502832308,0.03159133777558531,0.10302198280543734,0.5248148148148148,0.024785084456637074,0.5700080377118969,0.02400979511266481,0.281434179580226,0.008470097905199127,0.11408191288826786,0.06504836501259512,0.034707270012455216,0.08381213200158925,0.18007110649464178,0.03862188631776448,85.0,0.0,0.5061669603314443,0.4355716638551877,0.5708081753974957,0.5349999999999999,0.42333395260495077,0.612616936670858,0.5179282868525896,0.4663573981900586,0.5625600515076952,0.49411764705882355,0.4107142857142857,0.5736511346727019,0.5171618893181349,0.4670697054641812,0.5630251447545658,0.4915843650020865,0.410342023228434,0.5714850076058527,0.32957812764358724,0.29925842996151797,0.36848301505633724,0.26670466726070663,0.24478529321087253,0.29589820863144806,0.003911417190849519,-0.10937674933840602,0.12475735341399359,0.14361602868522658,-0.3927118055168161,0.5981277594027653,-0.07155156189831798,-0.6647491430288084,0.5445268427197517,0.03282454155027303,-0.32289178540135055,0.4420708732693125,0.23769694267115576,0.19228798652663415,0.29310770767180006,0.15459947813959682,0.08786036593817283,0.2182487494030753
hyperaktiv,rocket,record_wise,500.0,502.0,0.0,0.5039840637450199,0.0,0.5511288180610889,0.01097125607029103,0.5512696371784899,0.011010409958346538,0.5510407857084215,0.010909239252568181,0.10260712468490707,0.02207410595773213,0.5573492917652164,0.02822637090470627,0.5721925557707066,0.020778743562141957,0.37432146594628796,0.018762164060405734,0.05432360109229284,0.028768231379974342,0.11250046220942404,0.09844112977097179,0.3317273071760117,0.020168156449398202,85.0,0.0,0.5294117647058824,0.0,0.6117647058823529,0.03112648601252461,0.611111111111111,0.03307189138830739,0.6105768515959982,0.03260133185346782,0.22212632556857148,0.06556861369100628,0.6405555555555555,0.0633333333333333,0.6540500012749989,0.03558402876725348,0.24163017973938763,0.021719219514819553,0.6037994488785582,0.28870576115998603,0.11708824890592616,0.04328012324718371,0.1170423310907448,0.04111626423071778,85.0,0.0,0.5749321396256964,0.5049014310237141,0.6265977949041242,0.6572222222222222,0.55341047896775,0.7344608098480014,0.545816733067729,0.488136165177665,0.5845458271724168,0.6,0.518833747588312,0.6724137931034483,0.5458095238095239,0.49232194229869525,0.5877382057630187,0.5999446290143964,0.5255997135696384,0.6753585547812843,0.29369542242629393,0.2702401326029003,0.3286501874705936,0.2288123616677502,0.2091434762954282,0.2513746668428192,0.1446291037419143,0.04498546765843186,0.23975679988365114,0.9640965821925404,0.43620955228678276,1.4895001877592724,0.0597279342947364,-0.4751725843735682,0.6424348386411499,0.11134598896678036,-0.2388663646738478,0.47589006054942656,0.2004347978454824,0.1581853279997976,0.24483540255734562,0.07217860397170575,0.04027246081072373,0.09528897746711777
