defense,js_db,n,completed,completion_mean,ci_low,ci_high,ci_halfwidth
caf_cnn,0.0,600,592,0.9866666666666667,0.9739126318293848,0.9932286458506133,0.009658007010614256
caf_cnn,1.2903,600,593,0.9883333333333333,0.976115989141163,0.9943374162021226,0.009110713530479764
caf_cnn,2.5806,600,588,0.98,0.9653699456538909,0.9885228213729564,0.011576437859532773
caf_cnn,3.871,600,585,0.975,0.959164223636837,0.9847921604001473,0.01281396838165516
caf_cnn,5.0,600,573,0.955,0.9353193407452607,0.9688915113322716,0.01678608529350545
caf_cnn,5.1613,600,587,0.9783333333333334,0.9632857238042716,0.9872949155592883,0.01200459587750835
caf_cnn,6.4516,600,571,0.9516666666666667,0.9314474971378495,0.9661390996131076,0.017345801237629077
caf_cnn,7.7419,600,573,0.955,0.9353193407452607,0.9688915113322716,0.01678608529350545
caf_cnn,9.0323,600,551,0.9183333333333333,0.8936676475406663,0.9376763959445374,0.022004374201935573
caf_cnn,10.0,600,550,0.9166666666666666,0.8918125904008819,0.9362193254210341,0.022203367510076122
caf_cnn,10.3226,600,558,0.93,0.9067308408225561,0.9477980963056616,0.020533627741552762
caf_cnn,11.6129,600,533,0.8883333333333333,0.8606207206352195,0.9111050249108062,0.02524215213779335
caf_cnn,12.9032,600,525,0.875,0.8461284731132862,0.8991002511264382,0.026485889006576002
caf_cnn,14.1935,600,526,0.8766666666666667,0.8479344577657781,0.9006063941372342,0.02633596818572803
caf_cnn,15.0,600,508,0.8466666666666667,0.8156384751338387,0.8732840788299955,0.028822801848078394
caf_cnn,15.4839,600,521,0.8683333333333333,0.8389193195532985,0.8930608940332754,0.02707078723998846
caf_cnn,16.7742,600,456,0.76,0.7242415574234481,0.7924503580494277,0.03410440031298978
caf_cnn,18.0645,600,463,0.7716666666666666,0.7364137727607301,0.8034630363551591,0.033524631797214544
caf_cnn,19.3548,600,438,0.73,0.6930962642114221,0.7639773533222755,0.03544054455542667
caf_cnn,20.0,600,415,0.6916666666666667,0.6535934690094297,0.7273012122686516,0.03685387162961096
caf_cnn,20.6452,600,414,0.69,0.6518828921422978,0.7256996614724959,0.03690838466509905
caf_cnn,21.9355,600,397,0.6616666666666666,0.6228861998055073,0.6983901835333961,0.0377519918639444
caf_cnn,23.2258,600,347,0.5783333333333334,0.5384441701242652,0.6172258300502552,0.03939082996299503
caf_cnn,24.5161,600,347,0.5783333333333334,0.5384441701242652,0.6172258300502552,0.03939082996299503
caf_cnn,25.0,600,306,0.51,0.47006417298781034,0.5498085929919156,0.039872210002052655
caf_cnn,25.8065,600,288,0.48,0.4402788116987365,0.5199756563418116,0.03984842232153757
caf_cnn,27.0968,600,249,0.415,0.37623738126559547,0.4548441079067337,0.03930336332056911
caf_cnn,28.3871,600,220,0.36666666666666664,0.32906950577084787,0.4059602811661391,0.038445387697645605
caf_cnn,29.6774,600,193,0.32166666666666666,0.28552661317377787,0.36007572685444217,0.03727455684033215
caf_cnn,30.0,600,194,0.3233333333333333,0.28713254163546603,0.3617819260560416,0.03732469221028778
caf_cnn,30.9677,600,177,0.295,0.25990668214519635,0.332701615270421,0.036397466562612335
caf_cnn,32.2581,600,129,0.215,0.1839956600721617,0.24963050950564772,0.03281742471674301
caf_cnn,33.5484,600,124,0.20666666666666667,0.1761828266922091,0.24088270456916197,0.03234993893847643
caf_cnn,34.8387,600,90,0.15,0.12365957580215664,0.18079361490743384,0.0285670195526386
caf_cnn,35.0,600,107,0.17833333333333334,0.14977949878555574,0.2109798621999251,0.030600181707184676
caf_cnn,36.129,600,104,0.17333333333333334,0.14514798291106668,0.20567499508455117,0.030263506086742248
caf_cnn,37.4194,600,65,0.10833333333333334,0.08591052491269927,0.13573947421469965,0.02491447465100019
caf_cnn,38.7097,600,59,0.09833333333333333,0.0770017451951421,0.12477548795253081,0.023886871378694358
caf_cnn,40.0,600,41,0.06833333333333333,0.05076809443760846,0.09139084077088647,0.020311373166639002
no_def,0.0,600,594,0.99,0.9783564551842772,0.9954090778222962,0.008526311319009494
no_def,1.2903,600,593,0.9883333333333333,0.976115989141163,0.9943374162021226,0.009110713530479764
no_def,2.5806,600,586,0.9766666666666667,0.9612176696483747,0.9860508420518974,0.012416586201761337
no_def,3.871,600,581,0.9683333333333334,0.9510727848694855,0.9796350885143483,0.014281151822431393
no_def,5.0,600,568,0.9466666666666667,0.9256793173512055,0.9619708964098885,0.01814578952934154
no_def,5.1613,600,579,0.965,0.9470879685332634,0.9769956495239949,0.014953840495365744
no_def,6.4516,600,560,0.9333333333333333,0.9104908108641832,0.9506623815906097,0.02008578536321326
no_def,7.7419,600,553,0.9216666666666666,0.8973856994464167,0.9405825993653625,0.02159844995947291
no_def,9.0323,600,497,0.8283333333333334,0.7960952941653718,0.8563938555022981,0.03014928066846312
no_def,10.0,600,499,0.8316666666666667,0.7996389415628021,0.8594744634314432,0.029917760934320525
no_def,10.3226,600,490,0.8166666666666667,0.7837240440290864,0.8455802119955699,0.03092808398324176
no_def,11.6129,600,447,0.745,0.7086420522775276,0.778240714225759,0.034799330974115694
no_def,12.9032,600,404,0.6733333333333333,0.634807284597136,0.7096539923847811,0.037423353893822564
no_def,14.1935,600,348,0.58,0.5401214133886778,0.61886071444913,0.03936965053022612
no_def,15.0,600,306,0.51,0.47006417298781034,0.5498085929919156,0.039872210002052655
no_def,15.4839,600,332,0.5533333333333333,0.5133399776694885,0.5926481075557168,0.03965406494311419
no_def,16.7742,600,257,0.42833333333333334,0.38931826950361953,0.468260240975011,0.03947098573569574
no_def,18.0645,600,229,0.38166666666666665,0.34366497817960107,0.42117395772697486,0.038754489773686895
no_def,19.3548,600,153,0.255,0.22175928577424098,0.2913579477224725,0.03479933097411575
